,Movie,Year,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
427,Superman Returns,2006,"Action,Sci-Fi",154.0,PG-13,BryanSinger,"BrandonRouth,KevinSpacey,KateBosworth,JamesMarsden","Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",6.0,72.0,273377,200.08,DC
432,Superman III,1983,"Action,Adventure,Comedy",125.0,PG,RichardLester,"ChristopherReeve,RichardPryor,MargotKidder,JackieCooper",Synthetic kryptonite laced with tar splits Superman in two: good Clark Kent and bad Man of Steel.,5.0,44.0,65178,59.95,DC
435,Superman II,1980,"Action,Adventure,Sci-Fi",127.0,PG,"RichardLester,RichardDonner","GeneHackman,ChristopherReeve,MargotKidder,NedBeatty","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.",6.8,83.0,99747,108.19,DC
437,Catwoman,2004,"Action,Crime,Fantasy",104.0,PG-13,Pitof,"HalleBerry,SharonStone,BenjaminBratt,LambertWilson","A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",3.4,27.0,112736,40.2,DC
442,Batman: Soul of the Dragon,2021,"Animation,Action,Adventure",83.0,R,SamLiu,"DavidGiuntoli,MarkDacascos,KellyHu,MichaelJaiWhite","In the 1970s, a missing teacher of martial arts is the subject of a quest by his devoted and brilliant but distant students, who include Batman.",6.1,,3373,,DC
443,Justice League: The Flashpoint Paradox,2013,"Animation,Action,Adventure",75.0,PG-13,JayOliva,"JustinChambers,C.ThomasHowell,MichaelB.Jordan,KevinMcKidd",The Flash finds himself in a war torn alternate timeline and teams up with alternate versions of his fellow heroes to return home and restore the timeline.,8.1,,46145,,DC
448,Looney Tunes: Back in Action,2003,"Animation,Action,Adventure",91.0,PG,"JoeDante,EricGoldberg","BrendanFraser,JennaElfman,SteveMartin,HeatherLocklear",The Looney Tunes search for a man's missing father and the mythical Blue Monkey diamond.,5.7,64.0,34009,20.99,DC
450,Batman Ninja,2018,"Animation,Action,Sci-Fi",85.0,PG-13,JunpeiMizusaki,"KôichiYamadera,WataruTakagi,AiKakuma,RieKugimiya","Batman, along with a number of his allies and adversaries, finds himself transplanted from modern Gotham City to feudal Japan.",5.6,,18153,,DC
451,Batman: Gotham Knight,2008,"Animation,Action,Crime",75.0,PG-13,"YasuhiroAoki,FutoshiHigashide,ToshiyukiKubooka,HiroshiMorioka,Jong-SikNam,ShôjirôNishimi,YûichirôHayashi","KevinConroy,JasonMarsden,ScottMenville,GeorgeNewbern",A collection of key events mark Bruce Wayne's life as he journeys from beginner to Dark Knight.,6.7,,26843,,DC
452,Batman: Bad Blood,2016,"Animation,Action,Adventure",72.0,PG-13,JayOliva,"JasonO'Mara,YvonneStrahovski,StuartAllan,SeanMaher","Bruce Wayne is missing. Alfred covers for him while Nightwing and Robin patrol Gotham City in his stead. And a new player, Batwoman, investigates Batman's disappearance.",6.8,,21136,,DC
455,Justice League: War,2014,"Animation,Action,Adventure",79.0,PG-13,JayOliva,"SeanAstin,ZachCallison,ChristopherGorham,JustinKirk",The world's finest heroes found the Justice League in order to stop an alien invasion of Earth.,7.2,,31274,,DC
456,Wonder Woman,2009,"Animation,Action,Adventure",74.0,PG-13,LaurenMontgomery,"KeriRussell,NathanFillion,AlfredMolina,RosarioDawson",A modern man's trespass of the island of the Amazons enables an imprisoned war god to escape and Princess Diana wins the responsibility to recapture him.,7.3,,16567,,DC
457,Justice League vs. Teen Titans,2016,"Animation,Action,Adventure",78.0,PG-13,SamLiu,"RosarioDawson,ChristopherGorham,ShemarMoore,JerryO'Connell",Robin is sent to work with the Teen Titans after his volatile behavior botches a Justice League mission. The Titans must then face Trigon after he possesses the League and threatens to conquer the world.,7.0,,19043,,DC
459,Batman Beyond: Return of the Joker,2000,"Animation,Action,Crime",76.0,PG-13,CurtGeda,"WillFriedle,MarkHamill,KevinConroy,AngieHarmon","The Joker is back with a vengeance, and Gotham's newest Dark Knight needs answers as he stands alone to face Gotham's most infamous Clown Prince of Crime.",7.8,,24525,,DC
463,Batman vs. Robin,2015,"Animation,Action,Adventure",80.0,PG-13,JayOliva,"StuartAllan,TroyBaker,KevinConroy,TrevorDevall","While Damian Wayne struggles to cope with Batman's no-killing rule, he soon starts to believe that his destiny lies within a secret society known as, The Court of Owls.",7.1,,20466,,DC
464,Superman: Doomsday,2007,"Animation,Action,Adventure",75.0,PG-13,"LaurenMontgomery,BruceTimm,BrandonVietti","AdamBaldwin,AnneHeche,JamesMarsters,JohnDiMaggio","When LexCorps accidentally unleash a murderous creature, Doomsday, Superman meets his greatest challenge as a champion. Based on the ""The Death of Superman"" storyline that appeared in DC Comics' publications in the 1990s.",7.0,,20912,,DC
465,Justice League: Throne of Atlantis,2015,"Animation,Action,Adventure",72.0,PG-13,EthanSpaulding,"SeanAstin,RosarioDawson,NathanFillion,ChristopherGorham","When Atlantian troops assault Metropolis as revenge for the death of their king, the Queen seeks help from the Justice League to find her son who has gone missing during the madness.",6.7,,20694,,DC
466,Superman/Batman: Public Enemies,2009,"Animation,Action,Drama",67.0,PG-13,SamLiu,"ClancyBrown,KevinConroy,TimDaly,XanderBerkeley","When Lex Luthor gets elected US President, he uses the threat of an oncoming kryptonite meteor striking Earth as a rationale to frame Superman.",7.2,,22038,,DC
470,Batman & Mr. Freeze: SubZero,1998,"Animation,Action,Crime",70.0,Unrated,BoydKirkland,"KevinConroy,MichaelAnsara,LorenLester,EfremZimbalistJr.","When Mr. Freeze, desperate to save his dying wife, kidnaps Barbara Gordon (Batgirl) as an involuntary organ donor, Batman and Robin must find her before the operation can begin.",7.2,,14401,,DC
475,The Batman vs. Dracula,2005,"Animation,Action,Horror",83.0,Unrated,"TaeHoHan,SeungEunKim,SamLiu,SangIlSim,BrandonVietti,MichaelGoguen","RinoRomano,PeterStormare,TaraStrong,TomKenny","Batman faces off against the original creature of the night, Count Dracula, who has been unintentionally resurrected by the Penguin.",6.6,,8889,,DC
479,Green Lantern: First Flight,2009,"Animation,Action,Adventure",77.0,PG-13,LaurenMontgomery,"ChristopherMeloni,VictorGarber,TriciaHelfer,MichaelMadsen","Test pilot Hal Jordan finds himself recruited as the newest member of the intergalactic police force, The Green Lantern Corps.",7.1,,15357,,DC
483,Freedom Fighters: The Ray,2018,"Animation,Action,Fantasy",73.0,Not Rated,EthanSpaulding,"RussellTovey,JasonMitchell,DilshadVadsaria,MelissaBenoist","Earth X is one of many realities in the multiverse, with one glaring difference from our Earth; the Nazis won World War II! Led by The Ray, it is here that a group of heroes known as the ...                See full summary »",6.2,,480,,DC
484,Lego Batman: The Movie - DC Super Heroes Unite,2013,"Animation,Action,Adventure",71.0,Not Rated,JonBurton,"ClancyBrown,TroyBaker,ChristopherCoreySmith,CharlieSchlatter","When the Joker and Lex Luthor form an alliance, Batman must team up with the Justice League in order to stop them.",6.5,,4851,,DC
497,LEGO DC Comics Super Heroes: Aquaman - Rage of Atlantis,2018,"Animation,Action,Adventure",77.0,Not Rated,MattPeters,"JonathanAdams,DeeBradleyBaker,TroyBaker,EricBauza","Aquaman must battle foes in the air, on land and in the depths of the Seven Seas, along with some help from The Justice League, to save the day .",5.7,,848,,DC
505,Robotech: The Shadow Chronicles,2006,"Animation,Action,Adventure",88.0,PG,"Dong-WookLee,TommyYune","RichardEpcar,EddieFrierson,MarkHamill,AlexandraKenworthy","Picking up where the original series left off, Scott Bernard continues his search for Rick Hunter and the fate of the SDF-3.",6.5,,1499,,DC
